	name	link
0	100 AM[1]	#cite_note-1
1	313@Somerset[2]	#cite_note-2
2	Aperia	
3	Balestier Hill Shopping Centre	
4	Bugis Cube[3]	#cite_note-3
5	Bugis Junction	/wiki/Bugis_Junction
6	Bugis+	/wiki/Bugis%2B
7	Capitol Piazza	/wiki/Capitol_Piazza
8	Cathay Cineleisure Orchard	/wiki/Cathay_Cineleisure_Orchard
9	Clarke Quay Central	
10	The Centrepoint	/wiki/The_Centrepoint
11	City Square Mall	/wiki/City_Square_Mall_(Singapore)
12	City Gate Mall[4]	#cite_note-4
13	CityLink Mall	/wiki/CityLink_Mall
14	Duo	/wiki/DUO
15	Far East Plaza	/wiki/Far_East_Plaza
16	Funan	/wiki/Funan,_Singapore
17	Great World City	/wiki/Great_World_City
18	HDB Hub	/wiki/HDB_Hub
19	Holland Village Shopping Mall	/wiki/Holland_Village,_Singapore
20	ION Orchard	/wiki/ION_Orchard
21	Junction 8	/wiki/Junction_8_Shopping_Centre
22	Knightsbridge[5]	#cite_note-5
23	Liat Towers	/wiki/Liat_Towers
24	Lucky Plaza	/wiki/Lucky_Plaza
25	Marina Bay Sands	/wiki/Marina_Bay_Sands
26	The Shoppes at Marina Bay Sands[6]	#cite_note-6
27	Marina Bay Link Mall	/wiki/Marina_Bay_Link_Mall
28	Marina Square	/wiki/Marina_Square
29	Millenia Walk	/wiki/Millenia_Walk
30	Mustafa Shopping Centre	/wiki/Mustafa_Centre
31	Ngee Ann City	/wiki/Ngee_Ann_City
32	Orchard Central	/wiki/Orchard_Central
33	Orchard Gateway	/wiki/Orchard_Gateway
34	Orchard Plaza[7]	#cite_note-7
35	Midpoint Orchard[8]	#cite_note-8
36	Palais Renaissance	/wiki/Palais_Renaissance
37	People's Park Centre	/wiki/People%27s_Park_Centre
38	People's Park Complex	/wiki/People%27s_Park_Complex
39	Plaza Singapura	/wiki/Plaza_Singapura
40	PoMo	
41	Raffles City	/wiki/Raffles_City_Singapore
42	Scotts Square[9]	#cite_note-9
43	Shaw House and Centre	/wiki/Shaw_House_and_Centre
44	Sim Lim Square	/wiki/Sim_Lim_Square
45	Singapore Shopping Centre	
46	The South Beach	/wiki/South_Beach,_Singapore
47	Square 2	/wiki/Square_2_(shopping_mall)
48	Sunshine Plaza[10]	#cite_note-10
49	Suntec City	/wiki/Suntec_City
50	Tanglin Mall[11]	#cite_note-11
51	Tanjong Pagar Centre	/wiki/Tanjong_Pagar_Centre
52	Tekka Centre	/wiki/Tekka_Centre
53	The Adelphi	/w/index.php?title=The_Adelphi,_Singapore&action=edit&redlink=1
54	The Paragon	/wiki/The_Paragon,_Singapore
55	Tiong Bahru Plaza	/wiki/Tiong_Bahru_Plaza
56	The Poiz[12]	#cite_note-12
57	Thomson Plaza	/wiki/Thomson_Plaza
58	United Square[13]	#cite_note-13
